County_name,year,county,time,hst,Seed_sown,Sheep,Top_predators_killed,Human_population,Red_fox_killed,north,east
Norrb,29,1,2,0.4,173,362,0.066,43887.00,3.1,1439,513
Vasterb,29,2,2,0.8,308,722,0.894,49994.00,12.4,1179,415
Jamt,29,3,2,0.8,262,1154,0.314,42225.00,2.5,976,222
Vastern,29,4,2,3.4,1184,2676,0.562,78421.00,17.7,962,387
Gavle,29,5,2,5.2,1439,4299,0.911,102736.00,12.4,756,336
Koppar,29,6,2,4.4,2156,3980,1.349,134820.00,4.7,696,221
Varm,29,7,2,8.9,4604,3728,4.332,172858.00,29.6,564,140
Upps,29,8,2,11.3,7687,8393,5.413,81742.00,10.1,588,422
Vastml,29,9,2,13.5,6384,5317,5.745,89262.00,27.2,557,337
Stock,29,10,2,27.2,8152,10250,2.946,184711.00,10.9,519,453
Orebro,29,11,2,12.4,4633,5212,2.354,116255.00,24.8,499,254
Soderml,29,12,2,16.4,5799,8602,5.601,108327.00,11.8,463,361
Alvsb,29,14,2,16,9372,7321,2.503,197697.00,28.8,352,101
Goteborg,29,15,2,29,12612,10358,3.383,154054.00,52.1,381,44
Ostergl,29,16,2,16.1,6942,5768,5.582,187609.00,57.6,375,302
Kalmar,29,17,2,14.2,6410,7703,1.967,165743.00,64.4,237,323
Jonk,29,18,2,12.8,7525,8702,3.923,137478.00,74.8,269,217
Halland,29,19,2,15.6,11694,8285,0,88975.00,50.9,208,107
Kronob,29,20,2,11.5,5101,8334,4.772,108741.00,47.6,184,224
Kristian,29,21,2,23.8,12504,11129,1.425,150372.00,56,103,170
Blek,29,22,2,28.1,9979,10983,2.945,85734.00,133.5,120,263
Malmo,29,23,2,39.6,25891,11866,0,200103.00,26.5,58,136
Norrb,30,1,3,0.4,173,362,0.16,43887.00,2.6,1439,513
Vasterb,30,2,3,0.8,308,722,1.433,49994.00,13.5,1179,415
Jamt,30,3,3,0.8,262,1154,0.425,42225.00,0.8,976,222
Vastern,30,4,3,3.4,1184,2676,0.476,78421.00,6.4,962,387
Gavle,30,5,3,5.2,1439,4299,2.885,102736.00,14.4,756,336
Koppar,30,6,3,4.4,2156,3980,0.658,134820.00,5.6,696,221
Varm,30,7,3,8.9,4604,3728,4.074,172858.00,30.6,564,140
Upps,30,8,3,11.3,7687,8393,3.608,81742.00,15.4,588,422
Vastml,30,9,3,13.5,6384,5317,6.955,89262.00,26.2,557,337
Orebro,30,11,3,12.4,4633,5212,4.174,116255.00,28.5,499,254
Soderml,30,12,3,16.4,5799,8602,3.481,108327.00,17.6,463,361
Alvsb,30,14,3,16,9372,7321,1.534,197697.00,28.4,352,101
Goteborg,30,15,3,29,12612,10358,0.376,154054.00,5.1,381,44
Ostergl,30,16,3,16.1,6942,5768,5.581,187609.00,52.3,375,302
Kalmar,30,17,3,14.2,6410,7703,1.112,165743.00,45.3,237,323
Jonk,30,18,3,12.8,7525,8702,4.391,137478.00,75.8,269,217
Halland,30,19,3,15.6,11694,8285,0.699,88975.00,36.9,208,107
Kronob,30,20,3,11.5,5101,8334,6.151,108741.00,56.1,184,224
Kristian,30,21,3,23.8,12504,11129,0.95,150372.00,46.7,103,170
Blek,30,22,3,28.1,9979,10983,2.291,85734.00,168.2,120,263
Malmo,30,23,3,39.6,25891,11866,0,200103.00,23.6,58,136
